0,1,1,0,1,0,0,1,1,1,1,2,1,3,3,1,2,0,1,1,0,1,1,1,1
0,1,1,0,0,0,1,1,0,1,2,2,2,3,3,2,2,3,0,1,1,1,1,1,1
4,0,0,4,0,0,0,0,0,1,2,5,2,6,6,3,5,3,0,0,1,1,1,0,0
0,1,0,0,0,1,1,0,1,2,7,8,9,10,11,11,10,8,3,0,1,1,1,1,1
0,1,1,0,0,1,1,1,1,2,12,13,9,5,14,15,5,16,2,1,1,1,1,17,1
0,0,0,4,0,0,0,0,0,0,2,3,3,18,19,3,3,3,0,0,0,1,1,1,1
0,0,0,0,0,0,1,0,1,2,9,9,20,5,2,5,9,3,3,1,1,1,1,1,1
0,0,0,0,0,1,1,1,2,21,22,20,20,20,9,20,20,10,5,2,1,1,1,1,1
0,1,1,0,0,0,2,3,23,20,22,20,20,10,20,20,24,10,20,25,2,1,1,1,1
0,3,0,1,1,2,9,10,20,22,22,26,26,10,20,24,26,27,10,22,2,2,1,1,17
0,1,3,3,3,9,20,10,24,20,22,20,22,24,20,22,22,27,20,24,20,20,2,1,1
0,3,28,29,10,20,20,20,24,25,23,26,20,20,20,24,22,27,20,22,22,21,2,1,17
0,1,3,29,10,10,20,10,20,20,23,9,9,20,20,20,20,10,5,9,20,2,1,1,1
0,3,28,19,10,20,20,10,20,26,23,2,30,23,20,24,26,5,2,2,20,25,2,1,17
0,1,3,31,19,10,10,10,10,27,2,32,33,3,5,5,5,3,33,3,5,5,3,1,1
0,0,0,34,19,19,5,5,5,10,35,33,36,33,3,3,3,33,3,3,5,3,1,1,1
0,1,0,0,3,2,9,3,2,20,2,36,36,3,36,36,36,2,36,2,2,1,1,1,1
0,1,0,0,18,5,3,36,2,27,2,36,37,3,38,36,37,3,36,2,3,1,1,1,17
0,0,0,34,19,10,3,39,3,6,10,3,36,3,40,36,36,3,40,3,3,3,0,1,1
18,3,3,18,41,10,9,3,8,2,20,2,36,36,36,36,36,36,33,2,9,2,1,1,1
0,3,6,42,6,20,2,43,43,8,2,33,36,36,2,2,37,33,2,8,2,1,1,1,1
0,3,28,42,6,10,9,3,43,30,23,2,33,37,36,36,33,2,3,43,2,1,1,1,1
0,1,3,18,10,5,2,2,2,2,2,9,2,2,2,2,2,44,11,2,17,17,1,1,1
0,3,45,19,5,2,14,11,15,46,47,30,44,15,14,22,22,2,14,48,2,2,1,17,17
0,1,2,19,2,14,49,48,15,46,46,47,30,15,20,43,50,51,2,46,52,2,1,17,17
0,1,3,19,3,53,11,11,15,54,46,48,30,48,21,55,55,27,2,44,46,2,1,17,17
0,1,3,19,3,14,11,48,15,56,57,2,56,52,14,9,22,44,2,56,56,2,1,1,1
0,1,3,58,5,2,14,11,44,15,2,2,59,14,11,11,53,14,3,33,3,1,1,1,1
0,1,0,18,5,5,2,3,2,2,36,36,2,60,61,61,59,3,62,62,2,1,1,1,1
0,1,1,18,3,9,9,5,25,30,63,64,64,2,14,49,11,2,65,64,3,1,1,17,17
18,18,18,34,19,5,5,5,3,2,66,64,65,62,3,44,15,3,67,3,1,1,1,1,1
0,3,10,19,5,5,5,3,44,68,2,66,69,65,65,2,2,62,65,3,1,1,1,1,1
0,0,3,42,5,5,2,14,11,14,14,2,62,65,65,65,65,3,62,2,1,1,1,1,1
0,1,1,18,6,2,14,11,11,48,46,56,30,62,65,65,65,64,2,44,2,1,1,17,1
0,1,1,0,3,14,11,48,15,46,15,48,56,2,62,69,69,65,62,2,44,2,1,17,17
0,1,1,0,60,14,14,48,48,15,46,48,48,44,2,64,69,66,2,11,11,2,1,1,1
0,1,1,3,70,71,2,44,49,46,46,46,49,15,14,2,2,2,14,52,14,59,2,17,17
0,1,2,72,73,2,59,59,73,74,30,68,46,15,11,48,56,44,2,56,71,59,2,1,1
0,3,59,75,76,2,59,73,73,2,77,59,73,74,73,78,74,59,59,2,79,74,59,30,17
0,3,80,75,70,2,59,73,73,2,81,74,79,79,73,79,73,73,59,2,74,74,59,2,1
0,3,82,70,3,71,73,73,2,59,79,73,73,73,73,79,73,73,73,81,2,73,59,2,1
18,60,59,75,3,71,73,73,2,59,73,73,73,73,73,73,73,73,73,59,2,73,59,2,1
3,59,73,75,3,71,73,73,2,81,83,73,84,74,73,74,74,85,73,86,2,83,81,86,30
18,59,59,75,3,71,73,73,2,86,83,73,73,73,73,74,84,73,73,86,2,84,81,86,30
0,3,59,87,18,71,73,73,2,59,73,73,73,73,73,73,73,73,73,59,3,59,59,59,2
0,1,3,18,3,71,59,59,2,59,59,59,73,73,73,73,73,73,73,59,2,59,2,2,1
0,1,1,0,0,2,2,3,2,2,2,86,86,60,59,86,81,81,59,2,2,2,1,17,1
0,1,1,0,1,1,1,1,1,1,17,30,2,2,2,2,2,2,2,1,1,1,1,17,1
